"Period","Direction","Passenger_type","Count"
201803,"Departure","PLT",6047
201803,"Net migration","PLT",3919
201804,"Arrival","NZ Resident",235936
201804,"Arrival","Overseas visitor",283910
201804,"Arrival","PLT",8247
201804,"Departure","NZ Resident",243348
201804,"Departure","Overseas visitor",362422
201804,"Departure","PLT",5787
201804,"Net migration","PLT",2460
201805,"Arrival","NZ Resident",231669
201805,"Arrival","Overseas visitor",222079
201805,"Arrival","PLT",8140
201805,"Departure","NZ Resident",249871
201805,"Departure","Overseas visitor",257259
201805,"Departure","PLT",5818
201805,"Net migration","PLT",2322
201806,"Arrival","NZ Resident",244681
201806,"Arrival","Overseas visitor",212245
201806,"Arrival","PLT",8485
201806,"Departure","NZ Resident",288529
201806,"Departure","Overseas visitor",204327
201806,"Departure","PLT",5720
201806,"Net migration","PLT",2765
201807,"Arrival","NZ Resident",345136
201807,"Arrival","Overseas visitor",250523
201807,"Arrival","PLT",11863
201807,"Departure","NZ Resident",326481
201807,"Departure","Overseas visitor",249536
201807,"Departure","PLT",6532
201807,"Net migration","PLT",5331
201808,"Arrival","NZ Resident",284801
201808,"Arrival","Overseas visitor",246682
201808,"Arrival","PLT",10093
201808,"Departure","NZ Resident",279902
201808,"Departure","Overseas visitor",260998
201808,"Departure","PLT",5464
201808,"Net migration","PLT",4629
201809,"Arrival","NZ Resident",278617
201809,"Arrival","Overseas visitor",258155
201809,"Arrival","PLT",11015
201809,"Departure","NZ Resident",291060
201809,"Departure","Overseas visitor",221331
201809,"Departure","PLT",4752
201809,"Net migration","PLT",6263
201810,"Arrival","NZ Resident",326229
201810,"Arrival","Overseas visitor",283568
201810,"Arrival","PLT",10881
201810,"Departure","NZ Resident",262823
201810,"Departure","Overseas visitor",282564
201810,"Departure","PLT",4213
201810,"Net migration","PLT",6668
