"Period","Country","Citizenship","Direction","Count"
201405,"All countries","non-NZ","Arrival",5080
201405,"All countries","NZ","Arrival",1866
201406,"All countries","non-NZ","Arrival",5574
201406,"All countries","NZ","Arrival",1842
201407,"All countries","non-NZ","Arrival",7944
201407,"All countries","NZ","Arrival",2295
201408,"All countries","non-NZ","Arrival",6911
201408,"All countries","NZ","Arrival",2297
201409,"All countries","non-NZ","Arrival",7675
201409,"All countries","NZ","Arrival",2346
201410,"All countries","non-NZ","Arrival",7548
201410,"All countries","NZ","Arrival",2430
201411,"All countries","non-NZ","Arrival",7278
201411,"All countries","NZ","Arrival",2588
201412,"All countries","non-NZ","Arrival",4922
201412,"All countries","NZ","Arrival",4071
201501,"All countries","non-NZ","Arrival",9456
201501,"All countries","NZ","Arrival",2990
201502,"All countries","non-NZ","Arrival",9618
201502,"All countries","NZ","Arrival",2367
201503,"All countries","non-NZ","Arrival",7306
201503,"All countries","NZ","Arrival",2255
201504,"All countries","non-NZ","Arrival",5750
201504,"All countries","NZ","Arrival",2026
201505,"All countries","non-NZ","Arrival",5604
201505,"All countries","NZ","Arrival",1999
201506,"All countries","non-NZ","Arrival",5989
201506,"All countries","NZ","Arrival",1990
201507,"All countries","non-NZ","Arrival",9343
201507,"All countries","NZ","Arrival",2373
201508,"All countries","non-NZ","Arrival",7487
201508,"All countries","NZ","Arrival",2455
201509,"All countries","non-NZ","Arrival",8556
201509,"All countries","NZ","Arrival",2481
201510,"All countries","non-NZ","Arrival",8658
201510,"All countries","NZ","Arrival",2561
201511,"All countries","non-NZ","Arrival",8100
201511,"All countries","NZ","Arrival",2534
201512,"All countries","non-NZ","Arrival",5900
201512,"All countries","NZ","Arrival",4139
201601,"All countries","non-NZ","Arrival",10070
201601,"All countries","NZ","Arrival",3402
201602,"All countries","non-NZ","Arrival",10735
201602,"All countries","NZ","Arrival",2532
201603,"All countries","non-NZ","Arrival",7164
201603,"All countries","NZ","Arrival",2221
201604,"All countries","non-NZ","Arrival",6283
201604,"All countries","NZ","Arrival",2093
201605,"All countries","non-NZ","Arrival",5851
201605,"All countries","NZ","Arrival",1911
201606,"All countries","non-NZ","Arrival",6149
201606,"All countries","NZ","Arrival",2057
201607,"All countries","non-NZ","Arrival",9298
201607,"All countries","NZ","Arrival",2358
201608,"All countries","non-NZ","Arrival",7241
201608,"All countries","NZ","Arrival",2709
201609,"All countries","non-NZ","Arrival",8953
201609,"All countries","NZ","Arrival",2723
201610,"All countries","non-NZ","Arrival",9067
201610,"All countries","NZ","Arrival",2627
201611,"All countries","non-NZ","Arrival",8416
201611,"All countries","NZ","Arrival",2758
201612,"All countries","non-NZ","Arrival",6407
201612,"All countries","NZ","Arrival",4280
201701,"All countries","non-NZ","Arrival",10942
201701,"All countries","NZ","Arrival",3515
201702,"All countries","non-NZ","Arrival",11131
201702,"All countries","NZ","Arrival",2662
201703,"All countries","non-NZ","Arrival",7785
201703,"All countries","NZ","Arrival",2302
201704,"All countries","non-NZ","Arrival",6570
201704,"All countries","NZ","Arrival",2067
201705,"All countries","non-NZ","Arrival",6378
201705,"All countries","NZ","Arrival",2008
201706,"All countries","non-NZ","Arrival",6978
201706,"All countries","NZ","Arrival",2180
201707,"All countries","non-NZ","Arrival",9786
201707,"All countries","NZ","Arrival",2604
201708,"All countries","non-NZ","Arrival",7583
201708,"All countries","NZ","Arrival",2431
201709,"All countries","non-NZ","Arrival",8536
201709,"All countries","NZ","Arrival",2585
201710,"All countries","non-NZ","Arrival",8995
201710,"All countries","NZ","Arrival",2745
201711,"All countries","non-NZ","Arrival",8334
201711,"All countries","NZ","Arrival",2739
201712,"All countries","non-NZ","Arrival",6303
201712,"All countries","NZ","Arrival",4407
201801,"All countries","non-NZ","Arrival",11454
201801,"All countries","NZ","Arrival",3435
201802,"All countries","non-NZ","Arrival",10165
201802,"All countries","NZ","Arrival",2596
201803,"All countries","non-NZ","Arrival",7686
201803,"All countries","NZ","Arrival",2280
201804,"All countries","non-NZ","Arrival",6134
201804,"All countries","NZ","Arrival",2113
201805,"All countries","non-NZ","Arrival",6195
201805,"All countries","NZ","Arrival",1945
201806,"All countries","non-NZ","Arrival",6480
201806,"All countries","NZ","Arrival",2005
201807,"All countries","non-NZ","Arrival",9447
201807,"All countries","NZ","Arrival",2416
201808,"All countries","non-NZ","Arrival",7602
201808,"All countries","NZ","Arrival",2491
201809,"All countries","non-NZ","Arrival",8473
201809,"All countries","NZ","Arrival",2542
201810,"All countries","non-NZ","Arrival",8430
201810,"All countries","NZ","Arrival",2451
200811,"All countries","non-NZ","Departure",1875
200811,"All countries","NZ","Departure",4131
200812,"All countries","non-NZ","Departure",2820
200812,"All countries","NZ","Departure",4607
200901,"All countries","non-NZ","Departure",1983
200901,"All countries","NZ","Departure",6487
200902,"All countries","non-NZ","Departure",1707
200902,"All countries","NZ","Departure",4470
200903,"All countries","non-NZ","Departure",2020
200903,"All countries","NZ","Departure",4284
200904,"All countries","non-NZ","Departure",1791
200904,"All countries","NZ","Departure",3758
200905,"All countries","non-NZ","Departure",1775
200905,"All countries","NZ","Departure",3283
200906,"All countries","non-NZ","Departure",2067
200906,"All countries","NZ","Departure",2949
200907,"All countries","non-NZ","Departure",2396
200907,"All countries","NZ","Departure",3036
200908,"All countries","non-NZ","Departure",1861
200908,"All countries","NZ","Departure",2990
200909,"All countries","non-NZ","Departure",1604
200909,"All countries","NZ","Departure",2431
200910,"All countries","non-NZ","Departure",1588
200910,"All countries","NZ","Departure",2228
200911,"All countries","non-NZ","Departure",1912
200911,"All countries","NZ","Departure",2465
200912,"All countries","non-NZ","Departure",2895
200912,"All countries","NZ","Departure",3177
201001,"All countries","non-NZ","Departure",2093
201001,"All countries","NZ","Departure",4642
201002,"All countries","non-NZ","Departure",2105
201002,"All countries","NZ","Departure",3876
201003,"All countries","non-NZ","Departure",2384
201003,"All countries","NZ","Departure",4057
201004,"All countries","non-NZ","Departure",2130
201004,"All countries","NZ","Departure",3722
201005,"All countries","non-NZ","Departure",2289
201005,"All countries","NZ","Departure",3986
201006,"All countries","non-NZ","Departure",2115
201006,"All countries","NZ","Departure",3819
201007,"All countries","non-NZ","Departure",2631
201007,"All countries","NZ","Departure",3668
201008,"All countries","non-NZ","Departure",1928
201008,"All countries","NZ","Departure",3854
201009,"All countries","non-NZ","Departure",1727
201009,"All countries","NZ","Departure",3207
201010,"All countries","non-NZ","Departure",1909
201010,"All countries","NZ","Departure",3507
201011,"All countries","non-NZ","Departure",2078
201011,"All countries","NZ","Departure",3369
201012,"All countries","non-NZ","Departure",2888
201012,"All countries","NZ","Departure",4034
201101,"All countries","non-NZ","Departure",2191
201101,"All countries","NZ","Departure",6270
201102,"All countries","non-NZ","Departure",1931
201102,"All countries","NZ","Departure",4829
201103,"All countries","non-NZ","Departure",2712
201103,"All countries","NZ","Departure",5667
201104,"All countries","non-NZ","Departure",2134
201104,"All countries","NZ","Departure",5205
201105,"All countries","non-NZ","Departure",2254
201105,"All countries","NZ","Departure",5229
201106,"All countries","non-NZ","Departure",2058
201106,"All countries","NZ","Departure",4869
201107,"All countries","non-NZ","Departure",2670
201107,"All countries","NZ","Departure",5258
201108,"All countries","non-NZ","Departure",1927
201108,"All countries","NZ","Departure",4907
201109,"All countries","non-NZ","Departure",1664
201109,"All countries","NZ","Departure",4468
201110,"All countries","non-NZ","Departure",1770
201110,"All countries","NZ","Departure",3993
201111,"All countries","non-NZ","Departure",2234
201111,"All countries","NZ","Departure",3848
201112,"All countries","non-NZ","Departure",2853
201112,"All countries","NZ","Departure",5101
201201,"All countries","non-NZ","Departure",2147
201201,"All countries","NZ","Departure",6996
201202,"All countries","non-NZ","Departure",1999
201202,"All countries","NZ","Departure",6051
201203,"All countries","non-NZ","Departure",2271
201203,"All countries","NZ","Departure",5861
201204,"All countries","non-NZ","Departure",1978
201204,"All countries","NZ","Departure",5407
201205,"All countries","non-NZ","Departure",2022
201205,"All countries","NZ","Departure",5090
201206,"All countries","non-NZ","Departure",1956
201206,"All countries","NZ","Departure",5122
201207,"All countries","non-NZ","Departure",2506
201207,"All countries","NZ","Departure",5304
201208,"All countries","non-NZ","Departure",1782
201208,"All countries","NZ","Departure",4916
201209,"All countries","non-NZ","Departure",1476
201209,"All countries","NZ","Departure",4226
201210,"All countries","non-NZ","Departure",1533
201210,"All countries","NZ","Departure",3975
201211,"All countries","non-NZ","Departure",1914
201211,"All countries","NZ","Departure",3730
201212,"All countries","non-NZ","Departure",2782
201212,"All countries","NZ","Departure",5376
201301,"All countries","non-NZ","Departure",1987
201301,"All countries","NZ","Departure",6383
201302,"All countries","non-NZ","Departure",1761
201302,"All countries","NZ","Departure",5020
201303,"All countries","non-NZ","Departure",2262
201303,"All countries","NZ","Departure",4976
201304,"All countries","non-NZ","Departure",1846
201304,"All countries","NZ","Departure",4496
201305,"All countries","non-NZ","Departure",2032
201305,"All countries","NZ","Departure",4175
201306,"All countries","non-NZ","Departure",1973
201306,"All countries","NZ","Departure",3897
201307,"All countries","non-NZ","Departure",2439
201307,"All countries","NZ","Departure",3749
201308,"All countries","non-NZ","Departure",1852
201308,"All countries","NZ","Departure",3621
201309,"All countries","non-NZ","Departure",1415
201309,"All countries","NZ","Departure",2819
201310,"All countries","non-NZ","Departure",1470
201310,"All countries","NZ","Departure",2678
201311,"All countries","non-NZ","Departure",1818
201311,"All countries","NZ","Departure",2722
201312,"All countries","non-NZ","Departure",2374
201312,"All countries","NZ","Departure",3732
201401,"All countries","non-NZ","Departure",1842
201401,"All countries","NZ","Departure",4526
201402,"All countries","non-NZ","Departure",1684
201402,"All countries","NZ","Departure",3432
201403,"All countries","non-NZ","Departure",1962
201403,"All countries","NZ","Departure",3527
201404,"All countries","non-NZ","Departure",1686
201404,"All countries","NZ","Departure",3020
201405,"All countries","non-NZ","Departure",1905
201405,"All countries","NZ","Departure",3334
201406,"All countries","non-NZ","Departure",1937
201406,"All countries","NZ","Departure",2902
201407,"All countries","non-NZ","Departure",2165
201407,"All countries","NZ","Departure",2929
201408,"All countries","non-NZ","Departure",1645
201408,"All countries","NZ","Departure",2868
201409,"All countries","non-NZ","Departure",1442
201409,"All countries","NZ","Departure",2454
201410,"All countries","non-NZ","Departure",1414
201410,"All countries","NZ","Departure",2193
201411,"All countries","non-NZ","Departure",1709
201411,"All countries","NZ","Departure",2320
201412,"All countries","non-NZ","Departure",2276
201412,"All countries","NZ","Departure",3223
201501,"All countries","non-NZ","Departure",1737
201501,"All countries","NZ","Departure",3961
201502,"All countries","non-NZ","Departure",1743
201502,"All countries","NZ","Departure",3141
201503,"All countries","non-NZ","Departure",2152
201503,"All countries","NZ","Departure",3358
201504,"All countries","non-NZ","Departure",1819
201504,"All countries","NZ","Departure",2995
201505,"All countries","non-NZ","Departure",1944
201505,"All countries","NZ","Departure",2943
201506,"All countries","non-NZ","Departure",2052
201506,"All countries","NZ","Departure",2913
201507,"All countries","non-NZ","Departure",2231
201507,"All countries","NZ","Departure",2960
201508,"All countries","non-NZ","Departure",1682
201508,"All countries","NZ","Departure",2914
201509,"All countries","non-NZ","Departure",1531
201509,"All countries","NZ","Departure",2437
201510,"All countries","non-NZ","Departure",1425
201510,"All countries","NZ","Departure",2180
201511,"All countries","non-NZ","Departure",1540
201511,"All countries","NZ","Departure",2075
201512,"All countries","non-NZ","Departure",2256
201512,"All countries","NZ","Departure",3018
201601,"All countries","non-NZ","Departure",1867
201601,"All countries","NZ","Departure",3876
201602,"All countries","non-NZ","Departure",1715
201602,"All countries","NZ","Departure",2971
201603,"All countries","non-NZ","Departure",2106
201603,"All countries","NZ","Departure",3000
201604,"All countries","non-NZ","Departure",1870
201604,"All countries","NZ","Departure",3053
201605,"All countries","non-NZ","Departure",1926
201605,"All countries","NZ","Departure",2798
201606,"All countries","non-NZ","Departure",1918
201606,"All countries","NZ","Departure",2616
201607,"All countries","non-NZ","Departure",2331
201607,"All countries","NZ","Departure",2875
201608,"All countries","non-NZ","Departure",1813
201608,"All countries","NZ","Departure",2687
201609,"All countries","non-NZ","Departure",1573
201609,"All countries","NZ","Departure",2199
201610,"All countries","non-NZ","Departure",1537
201610,"All countries","NZ","Departure",2215
201611,"All countries","non-NZ","Departure",1962
201611,"All countries","NZ","Departure",2121
201612,"All countries","non-NZ","Departure",2610
201612,"All countries","NZ","Departure",3078
201701,"All countries","non-NZ","Departure",2111
201701,"All countries","NZ","Departure",3900
201702,"All countries","non-NZ","Departure",2125
201702,"All countries","NZ","Departure",3059
201703,"All countries","non-NZ","Departure",2474
201703,"All countries","NZ","Departure",2735
201704,"All countries","non-NZ","Departure",2139
201704,"All countries","NZ","Departure",3092
201705,"All countries","non-NZ","Departure",2448
201705,"All countries","NZ","Departure",2821
201706,"All countries","non-NZ","Departure",2454
201706,"All countries","NZ","Departure",2691
201707,"All countries","non-NZ","Departure",2894
201707,"All countries","NZ","Departure",2949
201708,"All countries","non-NZ","Departure",2133
201708,"All countries","NZ","Departure",2761
201709,"All countries","non-NZ","Departure",2069
201709,"All countries","NZ","Departure",2234
201710,"All countries","non-NZ","Departure",1977
201710,"All countries","NZ","Departure",2113
201711,"All countries","non-NZ","Departure",2328
201711,"All countries","NZ","Departure",1994
201712,"All countries","non-NZ","Departure",3110
201712,"All countries","NZ","Departure",2939
201801,"All countries","non-NZ","Departure",2542
201801,"All countries","NZ","Departure",3770
201802,"All countries","non-NZ","Departure",2543
201802,"All countries","NZ","Departure",2813
201803,"All countries","non-NZ","Departure",3066
