"Period","Country","Citizenship","Direction","Count"
201611,"All countries","non-NZ","Net migration",6454
201611,"All countries","NZ","Net migration",637
201612,"All countries","non-NZ","Net migration",3797
201612,"All countries","NZ","Net migration",1202
201701,"All countries","non-NZ","Net migration",8831
201701,"All countries","NZ","Net migration",-385
201702,"All countries","non-NZ","Net migration",9006
201702,"All countries","NZ","Net migration",-397
201703,"All countries","non-NZ","Net migration",5311
201703,"All countries","NZ","Net migration",-433
201704,"All countries","non-NZ","Net migration",4431
201704,"All countries","NZ","Net migration",-1025
201705,"All countries","non-NZ","Net migration",3930
201705,"All countries","NZ","Net migration",-813
201706,"All countries","non-NZ","Net migration",4524
201706,"All countries","NZ","Net migration",-511
201707,"All countries","non-NZ","Net migration",6892
201707,"All countries","NZ","Net migration",-345
201708,"All countries","non-NZ","Net migration",5450
201708,"All countries","NZ","Net migration",-330
201709,"All countries","non-NZ","Net migration",6467
201709,"All countries","NZ","Net migration",351
201710,"All countries","non-NZ","Net migration",7018
201710,"All countries","NZ","Net migration",632
201711,"All countries","non-NZ","Net migration",6006
201711,"All countries","NZ","Net migration",745
201712,"All countries","non-NZ","Net migration",3193
201712,"All countries","NZ","Net migration",1468
201801,"All countries","non-NZ","Net migration",8912
201801,"All countries","NZ","Net migration",-335
201802,"All countries","non-NZ","Net migration",7622
201802,"All countries","NZ","Net migration",-217
201803,"All countries","non-NZ","Net migration",4620
201803,"All countries","NZ","Net migration",-701
201804,"All countries","non-NZ","Net migration",3513
201804,"All countries","NZ","Net migration",-1053
201805,"All countries","non-NZ","Net migration",3412
201805,"All countries","NZ","Net migration",-1090
201806,"All countries","non-NZ","Net migration",3660
201806,"All countries","NZ","Net migration",-895
201807,"All countries","non-NZ","Net migration",6140
201807,"All countries","NZ","Net migration",-809
201808,"All countries","non-NZ","Net migration",5155
201808,"All countries","NZ","Net migration",-526
201809,"All countries","non-NZ","Net migration",6249
201809,"All countries","NZ","Net migration",14
201810,"All countries","non-NZ","Net migration",6413
201810,"All countries","NZ","Net migration",255
200811,"Australia","non-NZ","Arrival",333
200811,"Australia","NZ","Arrival",629
200812,"Australia","non-NZ","Arrival",440
200812,"Australia","NZ","Arrival",1114
200901,"Australia","non-NZ","Arrival",761
200901,"Australia","NZ","Arrival",856
200902,"Australia","non-NZ","Arrival",396
200902,"Australia","NZ","Arrival",782
200903,"Australia","non-NZ","Arrival",315
200903,"Australia","NZ","Arrival",748
200904,"Australia","non-NZ","Arrival",405
200904,"Australia","NZ","Arrival",784
200905,"Australia","non-NZ","Arrival",345
200905,"Australia","NZ","Arrival",811
200906,"Australia","non-NZ","Arrival",337
200906,"Australia","NZ","Arrival",699
200907,"Australia","non-NZ","Arrival",345
200907,"Australia","NZ","Arrival",844
200908,"Australia","non-NZ","Arrival",343
200908,"Australia","NZ","Arrival",864
200909,"Australia","non-NZ","Arrival",366
200909,"Australia","NZ","Arrival",749
200910,"Australia","non-NZ","Arrival",336
200910,"Australia","NZ","Arrival",757
200911,"Australia","non-NZ","Arrival",379
200911,"Australia","NZ","Arrival",818
200912,"Australia","non-NZ","Arrival",421
200912,"Australia","NZ","Arrival",1332
201001,"Australia","non-NZ","Arrival",797
201001,"Australia","NZ","Arrival",1078
201002,"Australia","non-NZ","Arrival",468
201002,"Australia","NZ","Arrival",971
201003,"Australia","non-NZ","Arrival",458
201003,"Australia","NZ","Arrival",935
201004,"Australia","non-NZ","Arrival",425
201004,"Australia","NZ","Arrival",857
201005,"Australia","non-NZ","Arrival",368
201005,"Australia","NZ","Arrival",792
201006,"Australia","non-NZ","Arrival",380
201006,"Australia","NZ","Arrival",713
201007,"Australia","non-NZ","Arrival",400
201007,"Australia","NZ","Arrival",822
201008,"Australia","non-NZ","Arrival",399
201008,"Australia","NZ","Arrival",670
201009,"Australia","non-NZ","Arrival",439
201009,"Australia","NZ","Arrival",711
201010,"Australia","non-NZ","Arrival",448
201010,"Australia","NZ","Arrival",731
201011,"Australia","non-NZ","Arrival",414
201011,"Australia","NZ","Arrival",729
201012,"Australia","non-NZ","Arrival",524
201012,"Australia","NZ","Arrival",1313
201101,"Australia","non-NZ","Arrival",810
201101,"Australia","NZ","Arrival",1074
201102,"Australia","non-NZ","Arrival",527
201102,"Australia","NZ","Arrival",772
201103,"Australia","non-NZ","Arrival",440
201103,"Australia","NZ","Arrival",817
201104,"Australia","non-NZ","Arrival",409
201104,"Australia","NZ","Arrival",728
201105,"Australia","non-NZ","Arrival",378
201105,"Australia","NZ","Arrival",567
201106,"Australia","non-NZ","Arrival",319
201106,"Australia","NZ","Arrival",513
201107,"Australia","non-NZ","Arrival",377
201107,"Australia","NZ","Arrival",698
201108,"Australia","non-NZ","Arrival",356
201108,"Australia","NZ","Arrival",769
201109,"Australia","non-NZ","Arrival",358
201109,"Australia","NZ","Arrival",607
201110,"Australia","non-NZ","Arrival",391
201110,"Australia","NZ","Arrival",613
201111,"Australia","non-NZ","Arrival",367
201111,"Australia","NZ","Arrival",630
201112,"Australia","non-NZ","Arrival",480
201112,"Australia","NZ","Arrival",1186
201201,"Australia","non-NZ","Arrival",679
201201,"Australia","NZ","Arrival",865
201202,"Australia","non-NZ","Arrival",497
201202,"Australia","NZ","Arrival",847
201203,"Australia","non-NZ","Arrival",418
201203,"Australia","NZ","Arrival",729
201204,"Australia","non-NZ","Arrival",364
201204,"Australia","NZ","Arrival",676
201205,"Australia","non-NZ","Arrival",364
201205,"Australia","NZ","Arrival",656
201206,"Australia","non-NZ","Arrival",337
201206,"Australia","NZ","Arrival",690
201207,"Australia","non-NZ","Arrival",349
201207,"Australia","NZ","Arrival",796
201208,"Australia","non-NZ","Arrival",345
201208,"Australia","NZ","Arrival",704
201209,"Australia","non-NZ","Arrival",447
201209,"Australia","NZ","Arrival",779
201210,"Australia","non-NZ","Arrival",424
201210,"Australia","NZ","Arrival",736
201211,"Australia","non-NZ","Arrival",434
201211,"Australia","NZ","Arrival",835
201212,"Australia","non-NZ","Arrival",491
201212,"Australia","NZ","Arrival",1418
201301,"Australia","non-NZ","Arrival",764
201301,"Australia","NZ","Arrival",1031
201302,"Australia","non-NZ","Arrival",591
201302,"Australia","NZ","Arrival",977
201303,"Australia","non-NZ","Arrival",537
201303,"Australia","NZ","Arrival",1010
201304,"Australia","non-NZ","Arrival",533
201304,"Australia","NZ","Arrival",916
201305,"Australia","non-NZ","Arrival",451
201305,"Australia","NZ","Arrival",874
201306,"Australia","non-NZ","Arrival",524
201306,"Australia","NZ","Arrival",815
201307,"Australia","non-NZ","Arrival",532
201307,"Australia","NZ","Arrival",971
201308,"Australia","non-NZ","Arrival",490
201308,"Australia","NZ","Arrival",1087
201309,"Australia","non-NZ","Arrival",582
201309,"Australia","NZ","Arrival",1085
201310,"Australia","non-NZ","Arrival",567
201310,"Australia","NZ","Arrival",1022
201311,"Australia","non-NZ","Arrival",532
201311,"Australia","NZ","Arrival",1088
201312,"Australia","non-NZ","Arrival",622
201312,"Australia","NZ","Arrival",1948
201401,"Australia","non-NZ","Arrival",1021
201401,"Australia","NZ","Arrival",1354
201402,"Australia","non-NZ","Arrival",739
201402,"Australia","NZ","Arrival",1367
201403,"Australia","non-NZ","Arrival",661
201403,"Australia","NZ","Arrival",1365
201404,"Australia","non-NZ","Arrival",609
201404,"Australia","NZ","Arrival",1194
201405,"Australia","non-NZ","Arrival",582
201405,"Australia","NZ","Arrival",1237
201406,"Australia","non-NZ","Arrival",492
201406,"Australia","NZ","Arrival",1042
201407,"Australia","non-NZ","Arrival",599
201407,"Australia","NZ","Arrival",1200
201408,"Australia","non-NZ","Arrival",520
201408,"Australia","NZ","Arrival",1166
201409,"Australia","non-NZ","Arrival",569
201409,"Australia","NZ","Arrival",1100
201410,"Australia","non-NZ","Arrival",569
201410,"Australia","NZ","Arrival",1145
201411,"Australia","non-NZ","Arrival",637
201411,"Australia","NZ","Arrival",1263
201412,"Australia","non-NZ","Arrival",714
201412,"Australia","NZ","Arrival",2130
201501,"Australia","non-NZ","Arrival",1204
201501,"Australia","NZ","Arrival",1499
201502,"Australia","non-NZ","Arrival",714
201502,"Australia","NZ","Arrival",1360
201503,"Australia","non-NZ","Arrival",771
201503,"Australia","NZ","Arrival",1346
201504,"Australia","non-NZ","Arrival",719
201504,"Australia","NZ","Arrival",1249
201505,"Australia","non-NZ","Arrival",678
201505,"Australia","NZ","Arrival",1240
201506,"Australia","non-NZ","Arrival",554
201506,"Australia","NZ","Arrival",1115
201507,"Australia","non-NZ","Arrival",636
201507,"Australia","NZ","Arrival",1353
201508,"Australia","non-NZ","Arrival",624
201508,"Australia","NZ","Arrival",1291
201509,"Australia","non-NZ","Arrival",709
201509,"Australia","NZ","Arrival",1163
201510,"Australia","non-NZ","Arrival",708
201510,"Australia","NZ","Arrival",1293
201511,"Australia","non-NZ","Arrival",666
201511,"Australia","NZ","Arrival",1346
201512,"Australia","non-NZ","Arrival",783
201512,"Australia","NZ","Arrival",2252
201601,"Australia","non-NZ","Arrival",1295
201601,"Australia","NZ","Arrival",1787
201602,"Australia","non-NZ","Arrival",792
201602,"Australia","NZ","Arrival",1440
201603,"Australia","non-NZ","Arrival",786
201603,"Australia","NZ","Arrival",1288
201604,"Australia","non-NZ","Arrival",741
201604,"Australia","NZ","Arrival",1291
201605,"Australia","non-NZ","Arrival",602
201605,"Australia","NZ","Arrival",1175
201606,"Australia","non-NZ","Arrival",622
201606,"Australia","NZ","Arrival",1060
201607,"Australia","non-NZ","Arrival",690
201607,"Australia","NZ","Arrival",1189
201608,"Australia","non-NZ","Arrival",663
201608,"Australia","NZ","Arrival",1269
201609,"Australia","non-NZ","Arrival",767
201609,"Australia","NZ","Arrival",1280
201610,"Australia","non-NZ","Arrival",815
201610,"Australia","NZ","Arrival",1228
201611,"Australia","non-NZ","Arrival",782
201611,"Australia","NZ","Arrival",1312
201612,"Australia","non-NZ","Arrival",794
201612,"Australia","NZ","Arrival",2115
201701,"Australia","non-NZ","Arrival",1375
201701,"Australia","NZ","Arrival",1605
201702,"Australia","non-NZ","Arrival",874
201702,"Australia","NZ","Arrival",1361
201703,"Australia","non-NZ","Arrival",676
201703,"Australia","NZ","Arrival",1271
201704,"Australia","non-NZ","Arrival",727
201704,"Australia","NZ","Arrival",1208
201705,"Australia","non-NZ","Arrival",725
201705,"Australia","NZ","Arrival",1103
201706,"Australia","non-NZ","Arrival",653
201706,"Australia","NZ","Arrival",959
201707,"Australia","non-NZ","Arrival",694
201707,"Australia","NZ","Arrival",1172
201708,"Australia","non-NZ","Arrival",635
201708,"Australia","NZ","Arrival",1068
201709,"Australia","non-NZ","Arrival",742
201709,"Australia","NZ","Arrival",1109
201710,"Australia","non-NZ","Arrival",813
201710,"Australia","NZ","Arrival",1213
201711,"Australia","non-NZ","Arrival",843
201711,"Australia","NZ","Arrival",1201
201712,"Australia","non-NZ","Arrival",883
201712,"Australia","NZ","Arrival",2040
201801,"Australia","non-NZ","Arrival",1355
201801,"Australia","NZ","Arrival",1526
201802,"Australia","non-NZ","Arrival",836
201802,"Australia","NZ","Arrival",1307
201803,"Australia","non-NZ","Arrival",758
201803,"Australia","NZ","Arrival",1175
201804,"Australia","non-NZ","Arrival",659
201804,"Australia","NZ","Arrival",1102
201805,"Australia","non-NZ","Arrival",648
201805,"Australia","NZ","Arrival",1007
201806,"Australia","non-NZ","Arrival",628
201806,"Australia","NZ","Arrival",928
201807,"Australia","non-NZ","Arrival",660
201807,"Australia","NZ","Arrival",1102
201808,"Australia","non-NZ","Arrival",595
201808,"Australia","NZ","Arrival",1103
201809,"Australia","non-NZ","Arrival",705
201809,"Australia","NZ","Arrival",1048
201810,"Australia","non-NZ","Arrival",751
201810,"Australia","NZ","Arrival",970
200811,"Australia","non-NZ","Departure",403
200811,"Australia","NZ","Departure",3117
200812,"Australia","non-NZ","Departure",599
200812,"Australia","NZ","Departure",3557
200901,"Australia","non-NZ","Departure",618
200901,"Australia","NZ","Departure",5070
200902,"Australia","non-NZ","Departure",379
200902,"Australia","NZ","Departure",3334
200903,"Australia","non-NZ","Departure",356
200903,"Australia","NZ","Departure",2973
200904,"Australia","non-NZ","Departure",320
200904,"Australia","NZ","Departure",2507
200905,"Australia","non-NZ","Departure",284
200905,"Australia","NZ","Departure",2113
200906,"Australia","non-NZ","Departure",312
200906,"Australia","NZ","Departure",1889
200907,"Australia","non-NZ","Departure",277
200907,"Australia","NZ","Departure",1801
200908,"Australia","non-NZ","Departure",243
200908,"Australia","NZ","Departure",1700
200909,"Australia","non-NZ","Departure",296
200909,"Australia","NZ","Departure",1567
200910,"Australia","non-NZ","Departure",278
200910,"Australia","NZ","Departure",1573
200911,"Australia","non-NZ","Departure",290
200911,"Australia","NZ","Departure",1744
200912,"Australia","non-NZ","Departure",546
200912,"Australia","NZ","Departure",2285
201001,"Australia","non-NZ","Departure",533
201001,"Australia","NZ","Departure",3470
201002,"Australia","non-NZ","Departure",399
201002,"Australia","NZ","Departure",2941
201003,"Australia","non-NZ","Departure",349
201003,"Australia","NZ","Departure",2815
201004,"Australia","non-NZ","Departure",371
201004,"Australia","NZ","Departure",2450
201005,"Australia","non-NZ","Departure",317
201005,"Australia","NZ","Departure",2536
201006,"Australia","non-NZ","Departure",355
201006,"Australia","NZ","Departure",2568
201007,"Australia","non-NZ","Departure",369
201007,"Australia","NZ","Departure",2291
201008,"Australia","non-NZ","Departure",299
201008,"Australia","NZ","Departure",2385
201009,"Australia","non-NZ","Departure",316
201009,"Australia","NZ","Departure",2334
201010,"Australia","non-NZ","Departure",350
201010,"Australia","NZ","Departure",2681
201011,"Australia","non-NZ","Departure",377
201011,"Australia","NZ","Departure",2496
201012,"Australia","non-NZ","Departure",617
201012,"Australia","NZ","Departure",3211
201101,"Australia","non-NZ","Departure",527
201101,"Australia","NZ","Departure",4875
201102,"Australia","non-NZ","Departure",432
201102,"Australia","NZ","Departure",3908
201103,"Australia","non-NZ","Departure",476
201103,"Australia","NZ","Departure",4365
201104,"Australia","non-NZ","Departure",416
201104,"Australia","NZ","Departure",3908
201105,"Australia","non-NZ","Departure",380
201105,"Australia","NZ","Departure",3877
201106,"Australia","non-NZ","Departure",368
201106,"Australia","NZ","Departure",3611
201107,"Australia","non-NZ","Departure",416
201107,"Australia","NZ","Departure",3811
201108,"Australia","non-NZ","Departure",342
201108,"Australia","NZ","Departure",3496
201109,"Australia","non-NZ","Departure",362
201109,"Australia","NZ","Departure",3527
201110,"Australia","non-NZ","Departure",398
201110,"Australia","NZ","Departure",3264
201111,"Australia","non-NZ","Departure",444
201111,"Australia","NZ","Departure",3084
201112,"Australia","non-NZ","Departure",630
201112,"Australia","NZ","Departure",4137
201201,"Australia","non-NZ","Departure",559
201201,"Australia","NZ","Departure",5728
201202,"Australia","non-NZ","Departure",462
201202,"Australia","NZ","Departure",4942
201203,"Australia","non-NZ","Departure",391
201203,"Australia","NZ","Departure",4684
201204,"Australia","non-NZ","Departure",422
201204,"Australia","NZ","Departure",4127
201205,"Australia","non-NZ","Departure",338
201205,"Australia","NZ","Departure",3838
201206,"Australia","non-NZ","Departure",365
201206,"Australia","NZ","Departure",3996
201207,"Australia","non-NZ","Departure",423
201207,"Australia","NZ","Departure",3914
201208,"Australia","non-NZ","Departure",371
201208,"Australia","NZ","Departure",3498
201209,"Australia","non-NZ","Departure",320
201209,"Australia","NZ","Departure",3394
201210,"Australia","non-NZ","Departure",313
201210,"Australia","NZ","Departure",3315
201211,"Australia","non-NZ","Departure",328
201211,"Australia","NZ","Departure",2988
201212,"Australia","non-NZ","Departure",539
201212,"Australia","NZ","Departure",4421
201301,"Australia","non-NZ","Departure",541
201301,"Australia","NZ","Departure",5137
201302,"Australia","non-NZ","Departure",334
201302,"Australia","NZ","Departure",4076
201303,"Australia","non-NZ","Departure",408
201303,"Australia","NZ","Departure",3867
201304,"Australia","non-NZ","Departure",298
201304,"Australia","NZ","Departure",3215
201305,"Australia","non-NZ","Departure",314
201305,"Australia","NZ","Departure",2956
201306,"Australia","non-NZ","Departure",287
201306,"Australia","NZ","Departure",2770
201307,"Australia","non-NZ","Departure",305
201307,"Australia","NZ","Departure",2319
201308,"Australia","non-NZ","Departure",245
201308,"Australia","NZ","Departure",2229
201309,"Australia","non-NZ","Departure",249
201309,"Australia","NZ","Departure",1957
201310,"Australia","non-NZ","Departure",270
201310,"Australia","NZ","Departure",1977
201311,"Australia","non-NZ","Departure",299
201311,"Australia","NZ","Departure",1956
201312,"Australia","non-NZ","Departure",419
201312,"Australia","NZ","Departure",2726
201401,"Australia","non-NZ","Departure",419
201401,"Australia","NZ","Departure",3298
201402,"Australia","non-NZ","Departure",317
201402,"Australia","NZ","Departure",2565
201403,"Australia","non-NZ","Departure",277
201403,"Australia","NZ","Departure",2335
201404,"Australia","non-NZ","Departure",227
201404,"Australia","NZ","Departure",1926
201405,"Australia","non-NZ","Departure",273
201405,"Australia","NZ","Departure",2062
201406,"Australia","non-NZ","Departure",203
201406,"Australia","NZ","Departure",1661
201407,"Australia","non-NZ","Departure",251
201407,"Australia","NZ","Departure",1627
201408,"Australia","non-NZ","Departure",250
201408,"Australia","NZ","Departure",1507
201409,"Australia","non-NZ","Departure",255
201409,"Australia","NZ","Departure",1482
201410,"Australia","non-NZ","Departure",227
201410,"Australia","NZ","Departure",1470
201411,"Australia","non-NZ","Departure",264
201411,"Australia","NZ","Departure",1502
201412,"Australia","non-NZ","Departure",439
201412,"Australia","NZ","Departure",2235
201501,"Australia","non-NZ","Departure",392
201501,"Australia","NZ","Departure",2744
201502,"Australia","non-NZ","Departure",288
201502,"Australia","NZ","Departure",2236
201503,"Australia","non-NZ","Departure",341
201503,"Australia","NZ","Departure",2128
201504,"Australia","non-NZ","Departure",246
201504,"Australia","NZ","Departure",1659
201505,"Australia","non-NZ","Departure",243
201505,"Australia","NZ","Departure",1658
201506,"Australia","non-NZ","Departure",239
201506,"Australia","NZ","Departure",1563
201507,"Australia","non-NZ","Departure",252
201507,"Australia","NZ","Departure",1474
201508,"Australia","non-NZ","Departure",251
201508,"Australia","NZ","Departure",1421
201509,"Australia","non-NZ","Departure",248
201509,"Australia","NZ","Departure",1383
201510,"Australia","non-NZ","Departure",246
201510,"Australia","NZ","Departure",1430
201511,"Australia","non-NZ","Departure",242
201511,"Australia","NZ","Departure",1353
201512,"Australia","non-NZ","Departure",461
201512,"Australia","NZ","Departure",2006
201601,"Australia","non-NZ","Departure",348
201601,"Australia","NZ","Departure",2681
201602,"Australia","non-NZ","Departure",316
201602,"Australia","NZ","Departure",2015
201603,"Australia","non-NZ","Departure",332
201603,"Australia","NZ","Departure",1838
201604,"Australia","non-NZ","Departure",329
201604,"Australia","NZ","Departure",1781
201605,"Australia","non-NZ","Departure",229
201605,"Australia","NZ","Departure",1513
201606,"Australia","non-NZ","Departure",297
201606,"Australia","NZ","Departure",1324
201607,"Australia","non-NZ","Departure",323
201607,"Australia","NZ","Departure",1476
201608,"Australia","non-NZ","Departure",276
201608,"Australia","NZ","Departure",1404
201609,"Australia","non-NZ","Departure",301
201609,"Australia","NZ","Departure",1299
201610,"Australia","non-NZ","Departure",337
201610,"Australia","NZ","Departure",1494
201611,"Australia","non-NZ","Departure",303
201611,"Australia","NZ","Departure",1396
201612,"Australia","non-NZ","Departure",526
201612,"Australia","NZ","Departure",2082
201701,"Australia","non-NZ","Departure",508
201701,"Australia","NZ","Departure",2718
201702,"Australia","non-NZ","Departure",397
201702,"Australia","NZ","Departure",2167
201703,"Australia","non-NZ","Departure",351
201703,"Australia","NZ","Departure",1708
201704,"Australia","non-NZ","Departure",343
201704,"Australia","NZ","Departure",1908
201705,"Australia","non-NZ","Departure",335
201705,"Australia","NZ","Departure",1448
201706,"Australia","non-NZ","Departure",303
201706,"Australia","NZ","Departure",1478
201707,"Australia","non-NZ","Departure",327
201707,"Australia","NZ","Departure",1550
201708,"Australia","non-NZ","Departure",293
201708,"Australia","NZ","Departure",1401
201709,"Australia","non-NZ","Departure",308
201709,"Australia","NZ","Departure",1388
201710,"Australia","non-NZ","Departure",331
201710,"Australia","NZ","Departure",1439
201711,"Australia","non-NZ","Departure",326
201711,"Australia","NZ","Departure",1281
201712,"Australia","non-NZ","Departure",579
201712,"Australia","NZ","Departure",1954
201801,"Australia","non-NZ","Departure",558
201801,"Australia","NZ","Departure",2640
201802,"Australia","non-NZ","Departure",390
201802,"Australia","NZ","Departure",1941
201803,"Australia","non-NZ","Departure",369
201803,"Australia","NZ","Departure",1847
201804,"Australia","non-NZ","Departure",394
201804,"Australia","NZ","Departure",1853
201805,"Australia","non-NZ","Departure",329
201805,"Australia","NZ","Departure",1666
201806,"Australia","non-NZ","Departure",353
201806,"Australia","NZ","Departure",1656
201807,"Australia","non-NZ","Departure",300
201807,"Australia","NZ","Departure",1722
201808,"Australia","non-NZ","Departure",294
201808,"Australia","NZ","Departure",1531
201809,"Australia","non-NZ","Departure",349
201809,"Australia","NZ","Departure",1608
201810,"Australia","non-NZ","Departure",347
201810,"Australia","NZ","Departure",1422
200811,"Australia","non-NZ","Net migration",-70
200811,"Australia","NZ","Net migration",-2488
200812,"Australia","non-NZ","Net migration",-159
200812,"Australia","NZ","Net migration",-2443
200901,"Australia","non-NZ","Net migration",143
200901,"Australia","NZ","Net migration",-4214
200902,"Australia","non-NZ","Net migration",17
200902,"Australia","NZ","Net migration",-2552
200903,"Australia","non-NZ","Net migration",-41
200903,"Australia","NZ","Net migration",-2225
200904,"Australia","non-NZ","Net migration",85
200904,"Australia","NZ","Net migration",-1723
200905,"Australia","non-NZ","Net migration",61
200905,"Australia","NZ","Net migration",-1302
200906,"Australia","non-NZ","Net migration",25
200906,"Australia","NZ","Net migration",-1190
200907,"Australia","non-NZ","Net migration",68
200907,"Australia","NZ","Net migration",-957
200908,"Australia","non-NZ","Net migration",100
200908,"Australia","NZ","Net migration",-836
200909,"Australia","non-NZ","Net migration",70
200909,"Australia","NZ","Net migration",-818
200910,"Australia","non-NZ","Net migration",58
200910,"Australia","NZ","Net migration",-816
200911,"Australia","non-NZ","Net migration",89
200911,"Australia","NZ","Net migration",-926
200912,"Australia","non-NZ","Net migration",-125
200912,"Australia","NZ","Net migration",-953
201001,"Australia","non-NZ","Net migration",264
201001,"Australia","NZ","Net migration",-2392
201002,"Australia","non-NZ","Net migration",69
201002,"Australia","NZ","Net migration",-1970
201003,"Australia","non-NZ","Net migration",109
201003,"Australia","NZ","Net migration",-1880
201004,"Australia","non-NZ","Net migration",54
201004,"Australia","NZ","Net migration",-1593
201005,"Australia","non-NZ","Net migration",51
201005,"Australia","NZ","Net migration",-1744
201006,"Australia","non-NZ","Net migration",25
201006,"Australia","NZ","Net migration",-1855
201007,"Australia","non-NZ","Net migration",31
201007,"Australia","NZ","Net migration",-1469
201008,"Australia","non-NZ","Net migration",100
201008,"Australia","NZ","Net migration",-1715
201009,"Australia","non-NZ","Net migration",123
201009,"Australia","NZ","Net migration",-1623
201010,"Australia","non-NZ","Net migration",98
201010,"Australia","NZ","Net migration",-1950
201011,"Australia","non-NZ","Net migration",37
201011,"Australia","NZ","Net migration",-1767
201012,"Australia","non-NZ","Net migration",-93
201012,"Australia","NZ","Net migration",-1898
201101,"Australia","non-NZ","Net migration",283
201101,"Australia","NZ","Net migration",-3801
201102,"Australia","non-NZ","Net migration",95
201102,"Australia","NZ","Net migration",-3136
201103,"Australia","non-NZ","Net migration",-36
201103,"Australia","NZ","Net migration",-3548
201104,"Australia","non-NZ","Net migration",-7
201104,"Australia","NZ","Net migration",-3180
201105,"Australia","non-NZ","Net migration",-2
201105,"Australia","NZ","Net migration",-3310
201106,"Australia","non-NZ","Net migration",-49
201106,"Australia","NZ","Net migration",-3098
201107,"Australia","non-NZ","Net migration",-39
201107,"Australia","NZ","Net migration",-3113
201108,"Australia","non-NZ","Net migration",14
201108,"Australia","NZ","Net migration",-2727
201109,"Australia","non-NZ","Net migration",-4
201109,"Australia","NZ","Net migration",-2920
201110,"Australia","non-NZ","Net migration",-7
201110,"Australia","NZ","Net migration",-2651
201111,"Australia","non-NZ","Net migration",-77
201111,"Australia","NZ","Net migration",-2454
201112,"Australia","non-NZ","Net migration",-150
201112,"Australia","NZ","Net migration",-2951
201201,"Australia","non-NZ","Net migration",120
201201,"Australia","NZ","Net migration",-4863
201202,"Australia","non-NZ","Net migration",35
201202,"Australia","NZ","Net migration",-4095
201203,"Australia","non-NZ","Net migration",27
201203,"Australia","NZ","Net migration",-3955
201204,"Australia","non-NZ","Net migration",-58
201204,"Australia","NZ","Net migration",-3451
201205,"Australia","non-NZ","Net migration",26
201205,"Australia","NZ","Net migration",-3182
201206,"Australia","non-NZ","Net migration",-28
201206,"Australia","NZ","Net migration",-3306
201207,"Australia","non-NZ","Net migration",-74
201207,"Australia","NZ","Net migration",-3118
201208,"Australia","non-NZ","Net migration",-26
201208,"Australia","NZ","Net migration",-2794
201209,"Australia","non-NZ","Net migration",127
201209,"Australia","NZ","Net migration",-2615
201210,"Australia","non-NZ","Net migration",111
201210,"Australia","NZ","Net migration",-2579
201211,"Australia","non-NZ","Net migration",106
201211,"Australia","NZ","Net migration",-2153
201212,"Australia","non-NZ","Net migration",-48
201212,"Australia","NZ","Net migration",-3003
201301,"Australia","non-NZ","Net migration",223
201301,"Australia","NZ","Net migration",-4106
201302,"Australia","non-NZ","Net migration",257
201302,"Australia","NZ","Net migration",-3099
201303,"Australia","non-NZ","Net migration",129
201303,"Australia","NZ","Net migration",-2857
201304,"Australia","non-NZ","Net migration",235
201304,"Australia","NZ","Net migration",-2299
201305,"Australia","non-NZ","Net migration",137
201305,"Australia","NZ","Net migration",-2082
201306,"Australia","non-NZ","Net migration",237
201306,"Australia","NZ","Net migration",-1955
201307,"Australia","non-NZ","Net migration",227
201307,"Australia","NZ","Net migration",-1348
201308,"Australia","non-NZ","Net migration",245
201308,"Australia","NZ","Net migration",-1142
201309,"Australia","non-NZ","Net migration",333
201309,"Australia","NZ","Net migration",-872
201310,"Australia","non-NZ","Net migration",297
201310,"Australia","NZ","Net migration",-955
201311,"Australia","non-NZ","Net migration",233
201311,"Australia","NZ","Net migration",-868
201312,"Australia","non-NZ","Net migration",203
201312,"Australia","NZ","Net migration",-778
201401,"Australia","non-NZ","Net migration",602
201401,"Australia","NZ","Net migration",-1944
201402,"Australia","non-NZ","Net migration",422
201402,"Australia","NZ","Net migration",-1198
201403,"Australia","non-NZ","Net migration",384
201403,"Australia","NZ","Net migration",-970
201404,"Australia","non-NZ","Net migration",382
201404,"Australia","NZ","Net migration",-732
201405,"Australia","non-NZ","Net migration",309
201405,"Australia","NZ","Net migration",-825
201406,"Australia","non-NZ","Net migration",289
201406,"Australia","NZ","Net migration",-619
201407,"Australia","non-NZ","Net migration",348
201407,"Australia","NZ","Net migration",-427
201408,"Australia","non-NZ","Net migration",270
201408,"Australia","NZ","Net migration",-341
201409,"Australia","non-NZ","Net migration",314
201409,"Australia","NZ","Net migration",-382
201410,"Australia","non-NZ","Net migration",342
201410,"Australia","NZ","Net migration",-325
201411,"Australia","non-NZ","Net migration",373
201411,"Australia","NZ","Net migration",-239
201412,"Australia","non-NZ","Net migration",275
201412,"Australia","NZ","Net migration",-105
201501,"Australia","non-NZ","Net migration",812
201501,"Australia","NZ","Net migration",-1245
201502,"Australia","non-NZ","Net migration",426
201502,"Australia","NZ","Net migration",-876
201503,"Australia","non-NZ","Net migration",430
201503,"Australia","NZ","Net migration",-782
201504,"Australia","non-NZ","Net migration",473
201504,"Australia","NZ","Net migration",-410
201505,"Australia","non-NZ","Net migration",435
201505,"Australia","NZ","Net migration",-418
201506,"Australia","non-NZ","Net migration",315
201506,"Australia","NZ","Net migration",-448
201507,"Australia","non-NZ","Net migration",384
201507,"Australia","NZ","Net migration",-121
201508,"Australia","non-NZ","Net migration",373
